mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__n_estimators,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_features,param_model__max_depth,params,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,split3_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,mean_test_f1,std_test_f1,rank_test_f1
0.2394689917564392,0.007165049171504671,0.05713963508605957,0.0033387255313071414,200,2,2,sqrt,10,"{'model__n_estimators': 200, 'model__min_samples_split': 2, 'model__min_samples_leaf': 2, 'model__max_features': 'sqrt', 'model__max_depth': 10}",0.9888888888888889,0.9038583845664617,0.9265422938308248,0.9548441806232775,0.9435334369773634,0.031811392099200295,39,0.986013986013986,0.9225352112676056,0.9366197183098591,0.9577464788732394,0.9507288486161726,0.02391775909523359,42,0.9814814814814815,0.8888888888888888,0.912621359223301,0.9433962264150944,0.9315969890021913,0.03468335672277045,39
0.24005073308944702,0.011328244537651312,0.06716662645339966,0.004946755328418897,200,2,1,sqrt,,"{'model__n_estimators': 200, 'model__min_samples_split': 2, 'model__min_samples_leaf': 1, 'model__max_features': 'sqrt', 'model__max_depth': None}",0.9888888888888889,0.9132923468306127,0.9359762560949756,0.9548441806232775,0.9482504181094387,0.027693342214663734,27,0.986013986013986,0.9295774647887324,0.9436619718309859,0.9577464788732394,0.954249975376736,0.02086873562451953,33,0.9814814814814815,0.9,0.9230769230769231,0.9433962264150944,0.9369886577433748,0.029926432562031622,30
0.2627139091491699,0.015996672768844138,0.06435155868530273,0.004703782349613894,200,5,2,0.5,,"{'model__n_estimators': 200, 'model__min_samples_split': 5, 'model__min_samples_leaf': 2, 'model__max_features': 0.5, 'model__max_depth': None}",0.9888888888888889,0.9038583845664617,0.9548441806232775,0.9698961204155183,0.9543718936235367,0.031560506301018636,8,0.986013986013986,0.9225352112676056,0.9577464788732394,0.971830985915493,0.9595316655175811,0.023582361520586022,11,0.9814814814814815,0.8888888888888888,0.9433962264150944,0.9622641509433962,0.9440076869322153,0.03455444811387228,12
0.24411356449127197,0.00512979618701824,0.05824637413024902,0.012213394877247515,200,5,2,sqrt,10,"{'model__n_estimators': 200, 'model__min_samples_split': 5, 'model__min_samples_leaf': 2, 'model__max_features': 'sqrt', 'model__max_depth': 10}",0.9794549266247379,0.9038583845664617,0.9321602713589145,0.9604621581513674,0.9439839351753704,0.028633817002630096,38,0.9790209790209791,0.9225352112676056,0.9436619718309859,0.9647887323943662,0.9525017236284843,0.021391438508789523,37,0.9719626168224299,0.8888888888888888,0.9215686274509803,0.9523809523809523,0.9337002713858129,0.03149687169625089,38
0.26460564136505127,0.013744584135205153,0.05314451456069946,0.008688433325905964,200,2,1,0.5,,"{'model__n_estimators': 200, 'model__min_samples_split': 2, 'model__min_samples_leaf': 1, 'model__max_features': 0.5, 'model__max_depth': None}",0.9833333333333334,0.9132923468306127,0.9548441806232775,0.9698961204155183,0.9553414953006855,0.026285729577215033,3,0.9790209790209791,0.9295774647887324,0.9577464788732394,0.971830985915493,0.9595439771496109,0.018917895294128167,6,0.9724770642201835,0.9,0.9433962264150944,0.9622641509433962,0.9445343603946685,0.02774772411703294,5
0.2335180640220642,0.008237886966525807,0.054106831550598145,0.008624724834874505,200,5,1,sqrt,10,"{'model__n_estimators': 200, 'model__min_samples_split': 5, 'model__min_samples_leaf': 1, 'model__max_features': 'sqrt', 'model__max_depth': 10}",0.9888888888888889,0.9227263090947636,0.9321602713589145,0.9604621581513674,0.9510594068734836,0.025881572566616644,18,0.986013986013986,0.9366197183098591,0.9436619718309859,0.9647887323943662,0.9577711021372994,0.019321983722648296,16,0.9814814814814815,0.9108910891089109,0.9215686274509803,0.9523809523809523,0.9415805376055812,0.027618169194270445,17
0.23247355222702026,0.002853633743004597,0.0460963249206543,0.004665219923767751,200,5,1,log2,,"{'model__n_estimators': 200, 'model__min_samples_split': 5, 'model__min_samples_leaf': 1, 'model__max_features': 'log2', 'model__max_depth': None}",0.9794549266247379,0.9094763620945516,0.9566461734153063,0.9698961204155183,0.9538683956375286,0.02687902165714888,9,0.9790209790209791,0.9295774647887324,0.9647887323943662,0.971830985915493,0.9613045405298927,0.018996217868948676,2,0.9719626168224299,0.8979591836734694,0.9514563106796117,0.9622641509433962,0.9459105655297267,0.028619221878101,3
0.2314947247505188,0.008088926713230778,0.06336140632629395,0.007795932720506741,200,5,4,log2,20,"{'model__n_estimators': 200, 'model__min_samples_split': 5, 'model__min_samples_leaf': 4, 'model__max_features': 'log2', 'model__max_depth': 20}",0.9888888888888889,0.8906084375662497,0.9321602713589145,0.9660801356794573,0.9444344333733776,0.03705613283010732,36,0.986013986013986,0.9154929577464789,0.9436619718309859,0.971830985915493,0.954249975376736,0.02707515714637727,33,0.9814814814814815,0.875,0.9215686274509803,0.9615384615384616,0.9348971426177308,0.04075897910745534,35
0.25667136907577515,0.015164694855739446,0.058734238147735596,0.007007506764894851,200,5,2,sqrt,,"{'model__n_estimators': 200, 'model__min_samples_split': 5, 'model__min_samples_leaf': 2, 'model__max_features': 'sqrt', 'model__max_depth': None}",0.9794549266247379,0.9132923468306127,0.9454102183591266,0.9604621581513674,0.9496549124914611,0.02421306987359124,20,0.9790209790209791,0.9295774647887324,0.9507042253521126,0.9647887323943662,0.9560228503890476,0.018257880488537725,21,0.9719626168224299,0.9,0.9333333333333333,0.9523809523809523,0.9394192256341789,0.0265423816988291,22
0.25122207403182983,0.0061552510122617286,0.05624496936798096,0.007738934184396228,200,2,2,log2,,"{'model__n_estimators': 200, 'model__min_samples_split': 2, 'model__min_samples_leaf': 2, 'model__max_features': 'log2', 'model__max_depth': None}",0.9794549266247379,0.9094763620945516,0.9321602713589145,0.9698961204155183,0.9477469201234306,0.028300017585754896,29,0.9790209790209791,0.9295774647887324,0.9436619718309859,0.971830985915493,0.9560228503890476,0.020192577891826,21,0.9719626168224299,0.8979591836734694,0.9215686274509803,0.9622641509433962,0.938438644722569,0.030061169727740977,27
