mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__penalty,param_model__loss,param_model__l1_ratio,param_model__alpha,params,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro
0.1191266377766927,0.010120373075227737,0.022007067998250324,0.0037526233584147402,l2,log_loss,0.15,0.0001,"{'model__penalty': 'l2', 'model__loss': 'log_loss', 'model__l1_ratio': 0.15, 'model__alpha': 0.0001}",0.6328248886204032,0.5367067585410134,0.6135965093249711,0.5943760521621292,0.041527045104374306,10,0.789,0.7896666666666666,0.7826666666666666,0.7871111111111112,0.003154459903684104,8,0.6479290385125586,0.5142316276011896,0.6275636416811884,0.5965747692649789,0.05881599601764783,9
0.08176223436991374,0.010171406656382359,0.019321282704671223,0.001433734129240583,l1,log_loss,0.15,0.001,"{'model__penalty': 'l1', 'model__loss': 'log_loss', 'model__l1_ratio': 0.15, 'model__alpha': 0.001}",0.5924068254733512,0.6479204489189636,0.5779470622214887,0.6060914455379346,0.030160905503787357,7,0.8076666666666666,0.8193333333333334,0.7993333333333333,0.8087777777777778,0.008202679477907454,1,0.6049567768854756,0.6732291471562093,0.5841618628074923,0.6207825956163924,0.03804460267625954,3
0.14667081832885742,0.037632334848534496,0.02300294240315755,0.0019427721270805851,elasticnet,hinge,0.15,0.0001,"{'model__penalty': 'elasticnet', 'model__loss': 'hinge', 'model__l1_ratio': 0.15, 'model__alpha': 0.0001}",0.5821750048888914,0.5030197846179237,0.6311401427628321,0.5721116440898824,0.05278674054295057,16,0.8026666666666666,0.7783333333333333,0.8116666666666666,0.7975555555555555,0.014080018237923089,5,0.5902547065337763,0.44639785374414037,0.6534643040632997,0.5633722881137387,0.08664535774072261,17
0.08055480321248372,0.0033623218321858573,0.02425686518351237,0.0015654995192856947,l1,hinge,0.5,0.001,"{'model__penalty': 'l1', 'model__loss': 'hinge', 'model__l1_ratio': 0.5, 'model__alpha': 0.001}",0.506573380808826,0.6357691038125103,0.5,0.5474474948737788,0.06251043799750101,18,0.7816666666666666,0.813,0.7786666666666666,0.791111111111111,0.0155261627067045,6,0.4518937002921281,0.6587391272521849,0.43778110944527737,0.5161379789965301,0.10099870269125927,18
0.14997474352518717,0.03313777297470985,0.02942792574564616,0.01165056454428244,l2,hinge,0.15,0.0001,"{'model__penalty': 'l2', 'model__loss': 'hinge', 'model__l1_ratio': 0.15, 'model__alpha': 0.0001}",0.6037935861616297,0.6078767123287672,0.651739664135996,0.6211366542087976,0.021703703866350305,4,0.801,0.8073333333333333,0.8093333333333333,0.805888888888889,0.003552081636254604,4,0.6198226305938982,0.6256395863468555,0.6727786129932062,0.6394136099779866,0.023711836892322705,1
0.10195080439249675,0.008952025222338041,0.02367115020751953,0.00570661287800906,l1,hinge,0.15,0.001,"{'model__penalty': 'l1', 'model__loss': 'hinge', 'model__l1_ratio': 0.15, 'model__alpha': 0.001}",0.506573380808826,0.6357691038125103,0.5,0.5474474948737788,0.06251043799750101,18,0.7816666666666666,0.813,0.7786666666666666,0.791111111111111,0.0155261627067045,6,0.4518937002921281,0.6587391272521849,0.43778110944527737,0.5161379789965301,0.10099870269125927,18
0.12673823038736978,0.026386225618995666,0.0251924991607666,0.008122933469575582,l2,hinge,0.15,1e-05,"{'model__penalty': 'l2', 'model__loss': 'hinge', 'model__l1_ratio': 0.15, 'model__alpha': 1e-05}",0.5933516884585374,0.625324929856412,0.6206727595312758,0.613116459282075,0.014104261683707374,5,0.7443333333333333,0.6943333333333334,0.7676666666666667,0.7354444444444445,0.030590888662080457,14,0.5992668027986886,0.6065565892761142,0.630222967946114,0.6120154533403056,0.01321414489129379,6
0.1128085454305013,0.005147483917982493,0.01782647768656413,0.0020371631214390297,l1,hinge,0.5,1e-05,"{'model__penalty': 'l1', 'model__loss': 'hinge', 'model__l1_ratio': 0.5, 'model__alpha': 1e-05}",0.5015082956259427,0.6232025705561974,0.6415611074434725,0.5887573245418709,0.06214796190940732,13,0.7796666666666666,0.78,0.7263333333333334,0.762,0.02522050899712519,12,0.44105812798162225,0.6362302875397483,0.6303000273635019,0.5691961476282907,0.09063960155718179,14
0.21505316098531088,0.06385186310459828,0.017394304275512695,0.002050277989119341,l1,log_loss,0.15,1e-06,"{'model__penalty': 'l1', 'model__loss': 'log_loss', 'model__l1_ratio': 0.15, 'model__alpha': 1e-06}",0.5910669787812429,0.6058420325136161,0.545874422346922,0.580927811213927,0.02550987529689543,15,0.713,0.6883333333333334,0.7653333333333333,0.7222222222222222,0.03210438222462302,18,0.5896075214788746,0.592127612146367,0.5423781256744072,0.5747044197665496,0.02288128320326252,13
0.09696340560913086,0.006240146485518284,0.026328563690185547,0.011388074065153256,l1,hinge,0.15,0.0001,"{'model__penalty': 'l1', 'model__loss': 'hinge', 'model__l1_ratio': 0.15, 'model__alpha': 0.0001}",0.506573380808826,0.6215160298729163,0.5016323857072124,0.5432405987963183,0.05538583266997068,20,0.7816666666666666,0.795,0.7753333333333333,0.7839999999999999,0.008196656951781355,11,0.4518937002921281,0.6387503228240679,0.44673315354441023,0.5124590588868688,0.08932625713575792,20
