mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__penalty,param_model__loss,param_model__l1_ratio,param_model__alpha,params,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro
0.0699455738067627,0.0021055551537662188,0.02349694569905599,0.0004619607286429803,l2,log_loss,0.15,0.0001,"{'model__penalty': 'l2', 'model__loss': 'log_loss', 'model__l1_ratio': 0.15, 'model__alpha': 0.0001}",0.757992793303045,0.7593855509632121,0.7575954728662488,0.7583246057108353,0.0007675369714350952,6,0.8416666666666667,0.8423333333333334,0.8606666666666667,0.8482222222222223,0.00880375901757347,4,0.7709412354159892,0.7721497645627853,0.7852267519091527,0.7761059172959758,0.006468248279369979,1
0.05756791432698568,0.0028042473295078825,0.022208372751871746,0.0008537243070199969,l1,log_loss,0.15,0.001,"{'model__penalty': 'l1', 'model__loss': 'log_loss', 'model__l1_ratio': 0.15, 'model__alpha': 0.001}",0.7572420957035684,0.7158908644374407,0.764081988384328,0.7457383161751124,0.021289258862871936,13,0.8463333333333334,0.8393333333333334,0.864,0.8498888888888888,0.010379229020583748,3,0.7740266602790664,0.7441206136858312,0.7913790458659304,0.769842106610276,0.019518755426264613,9
0.08322731653849284,0.004202641858449228,0.021590471267700195,0.00018279362405920315,elasticnet,hinge,0.15,0.0001,"{'model__penalty': 'elasticnet', 'model__loss': 'hinge', 'model__l1_ratio': 0.15, 'model__alpha': 0.0001}",0.7859700111567091,0.7369451856481266,0.7859651285706961,0.7696267751251774,0.023109373625144154,2,0.8203333333333334,0.8343333333333334,0.853,0.8358888888888889,0.013381394859844067,10,0.7677948886442223,0.7541888057483219,0.7930152422449164,0.7716663122124868,0.016085479644484882,5
0.062163988749186196,0.001802183464677553,0.021699905395507812,0.0007053008591365056,l1,hinge,0.5,0.001,"{'model__penalty': 'l1', 'model__loss': 'hinge', 'model__l1_ratio': 0.5, 'model__alpha': 0.001}",0.7482282316005848,0.7435421696747466,0.7591206706720147,0.7502970239824487,0.00652596607253998,10,0.8413333333333334,0.848,0.855,0.8481111111111111,0.005579946457550961,6,0.765500452905988,0.7676750385170331,0.7816220843829,0.771599191935307,0.0071426412204894955,6
0.06429775555928548,0.004405830302874169,0.021467129389444988,0.0001770362795598115,l2,hinge,0.15,0.0001,"{'model__penalty': 'l2', 'model__loss': 'hinge', 'model__l1_ratio': 0.15, 'model__alpha': 0.0001}",0.7569448682800358,0.7112981819690981,0.776074840278405,0.7481059635091797,0.027173498653300335,12,0.8473333333333334,0.8403333333333334,0.8466666666666667,0.8447777777777778,0.003154459903684082,8,0.7746204963466868,0.7414991072994572,0.7835497835497836,0.7665564623986425,0.018089339879495285,10
0.06278808911641438,0.005116884549301528,0.02233282725016276,0.0013115924504311246,l1,hinge,0.15,0.001,"{'model__penalty': 'l1', 'model__loss': 'hinge', 'model__l1_ratio': 0.15, 'model__alpha': 0.001}",0.7482282316005848,0.7435421696747466,0.7591206706720147,0.7502970239824487,0.00652596607253998,10,0.8413333333333334,0.848,0.855,0.8481111111111111,0.005579946457550961,6,0.765500452905988,0.7676750385170331,0.7816220843829,0.771599191935307,0.0071426412204894955,6
0.08035055796305339,0.0036232952778229295,0.022184054056803387,0.0006675879820929014,l2,hinge,0.15,1e-05,"{'model__penalty': 'l2', 'model__loss': 'hinge', 'model__l1_ratio': 0.15, 'model__alpha': 1e-05}",0.794543832195284,0.7155051401424251,0.7656767630407769,0.758575245126162,0.03265580477113133,5,0.8043333333333333,0.8133333333333334,0.849,0.8222222222222223,0.019287941605003474,14,0.7591827474745982,0.7277534016240158,0.7803697061463029,0.7557686184149723,0.021615751715239943,12
0.1090840498606364,0.010131378092967219,0.02274974187215169,0.0009229086464501128,l1,hinge,0.5,1e-05,"{'model__penalty': 'l1', 'model__loss': 'hinge', 'model__l1_ratio': 0.5, 'model__alpha': 1e-05}",0.7963320793224924,0.6907632458455296,0.6862352576418574,0.7244435276032931,0.05086648254994728,16,0.7656666666666667,0.7916666666666666,0.816,0.791111111111111,0.020552251986787076,19,0.7315851026041081,0.6995711799193697,0.7088402841268725,0.7133321888834501,0.013450048765034927,19
0.2082188924153646,0.026208383569103207,0.021117528279622395,0.0005297060037884339,l1,log_loss,0.15,1e-06,"{'model__penalty': 'l1', 'model__loss': 'log_loss', 'model__l1_ratio': 0.15, 'model__alpha': 1e-06}",0.7034085332955746,0.7299319611639108,0.7899322297061415,0.7410909080552089,0.03619372949309587,15,0.808,0.8033333333333333,0.769,0.7934444444444445,0.017389510106049434,18,0.7168696532112028,0.7299319611639108,0.7319762401255676,0.7262592848335604,0.006691719042764811,15
0.07283544540405273,0.0026541350980325285,0.021654446919759113,0.000695762233594117,l1,hinge,0.15,0.0001,"{'model__penalty': 'l1', 'model__loss': 'hinge', 'model__l1_ratio': 0.15, 'model__alpha': 0.0001}",0.7897186165680792,0.7452626709210266,0.7560922466975408,0.7636911780622156,0.018927767860248797,3,0.8296666666666667,0.839,0.8496666666666667,0.8394444444444445,0.008171011693711224,9,0.7763276442544438,0.7621851394433754,0.7759250791507809,0.7714792876162,0.006574009804246126,8
