mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__class_weight,param_model__C,params,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro
0.32663337389628094,0.03994362340076035,0.16156323750813803,0.020516321250463595,,0.001,"{'model__class_weight': None, 'model__C': 0.001}",0.5032894736842105,0.5016447368421053,0.5,0.5016447368421053,0.0013429220081048055,10,0.8993333333333333,0.899,0.8986666666666666,0.899,0.000272165526975924,5,0.48001680475491915,0.4766764058204638,0.47331460674157305,0.4766692724389853,0.002736165530613182,10
0.3018670082092285,0.03779451849616442,0.1557940642038981,0.03262127771772181,balanced,0.001,"{'model__class_weight': 'balanced', 'model__C': 0.001}",0.7501171325940965,0.7607176323598313,0.7765207715133531,0.7624518454890937,0.010848768238158023,1,0.8026666666666666,0.785,0.7976666666666666,0.7951111111111112,0.0074353177885873555,9,0.6470543345543345,0.6381878427749478,0.6530127203897995,0.6460849659063606,0.006090922522113766,6
0.33275707562764484,0.04554803500072019,0.14461787541707358,0.0025364060208187323,,0.01,"{'model__class_weight': None, 'model__C': 0.01}",0.5965953459315946,0.6163565906606279,0.6006510620021865,0.604534332864803,0.008521992832451064,9,0.9096666666666666,0.9163333333333333,0.9143333333333333,0.9134444444444445,0.0027932900199948043,1,0.6327871814270712,0.6614803782248715,0.6416138810241755,0.645293813558706,0.011999480911365738,7
0.3009861310323079,0.028286425042934847,0.13482356071472168,0.002248628301557556,balanced,0.01,"{'model__class_weight': 'balanced', 'model__C': 0.01}",0.7368860299859441,0.7612740121817898,0.7677163048570983,0.7552921156749441,0.013278146871751101,2,0.792,0.786,0.7923333333333333,0.7901111111111111,0.0029101779674908365,10,0.6343107186810182,0.6390963241791972,0.6459529236730196,0.6397866555110783,0.004777911139105196,9
0.2951625982920329,0.010857499543043122,0.13753875096638998,0.003992356633224846,,0.1,"{'model__class_weight': None, 'model__C': 0.1}",0.62228154771201,0.6520722708105575,0.6409788380446666,0.6384442188557448,0.012293359088229185,7,0.906,0.9123333333333333,0.916,0.9114444444444444,0.004130584510098024,3,0.6570544626700134,0.6910097948720157,0.6857040229885057,0.677922760176845,0.014914247873430401,4
0.3112350304921468,0.011567452102409845,0.13642295201619467,0.0021941474946477802,balanced,0.1,"{'model__class_weight': 'balanced', 'model__C': 0.1}",0.7360563407777604,0.7585653209433079,0.7639436592222396,0.7528551069811026,0.012079750000905665,3,0.801,0.789,0.7986666666666666,0.7962222222222222,0.00519496432336042,8,0.6403596403596403,0.6402699850481886,0.6492610867951057,0.643296904067645,0.004217472878681801,8
0.31939856211344403,0.0022228338054996466,0.1358659267425537,0.005542483744149456,,1.0,"{'model__class_weight': None, 'model__C': 1.0}",0.6261029985944089,0.65353154771201,0.6460741058878651,0.6419028840647614,0.011579598303260717,6,0.905,0.9123333333333333,0.9146666666666666,0.9106666666666667,0.004118611776189006,4,0.6597409016507938,0.6922333986443447,0.6886735547642675,0.6802159516864688,0.01455080473341992,3
0.39799070358276367,0.015366276588559871,0.13694262504577637,0.0008721038332332116,balanced,1.0,"{'model__class_weight': 'balanced', 'model__C': 1.0}",0.7303119631422771,0.7443873965328752,0.7699467046696862,0.7482153547816127,0.016405652120568902,4,0.851,0.8343333333333334,0.8566666666666667,0.8473333333333333,0.009479021671662724,7,0.6773028388927805,0.6693895280962359,0.6999843712788759,0.6822255794226307,0.012966267468210394,2
0.38578248023986816,0.04342317783164271,0.13495651880900064,0.005180078710001447,,10.0,"{'model__class_weight': None, 'model__C': 10.0}",0.6277721380602842,0.6471624629080119,0.6312958769326878,0.635410159300328,0.008433728474627256,8,0.908,0.914,0.9143333333333333,0.9121111111111112,0.002910177967490836,2,0.6643511762302259,0.6888187011115685,0.6745977314692693,0.6759225362703546,0.01003265582238037,5
0.5371203422546387,0.05758577526780418,0.11701615651448567,0.00847192133491549,balanced,10.0,"{'model__class_weight': 'balanced', 'model__C': 10.0}",0.6916484460409182,0.7102237232547244,0.7263977822895518,0.7094233171950647,0.014197642523212643,5,0.8916666666666667,0.8883333333333333,0.9016666666666666,0.8938888888888888,0.005665577237325295,6,0.695916011690548,0.7033507200312648,0.7280597199291665,0.7091088172169931,0.01373975393356999,1
