mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__class_weight,param_model__C,params,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro
0.049335638682047524,0.004398509070096996,0.02135443687438965,0.00029144881069328955,,0.001,"{'model__class_weight': None, 'model__C': 0.001}",0.5899262485382758,0.6000747035659967,0.6253634474963319,0.6051214665335348,0.01490080825181637,10,0.798,0.804,0.8163333333333334,0.8061111111111111,0.0076319665604775,7,0.5965021306818181,0.6114071818297171,0.6472524637377453,0.6183872587497602,0.021298516093524306,10
0.04746270179748535,0.0027005921214193324,0.02148779233296712,0.0009408375422073366,balanced,0.001,"{'model__class_weight': 'balanced', 'model__C': 0.001}",0.7819443189891093,0.7937131822498469,0.8043541681416145,0.7933372231268568,0.009152644197393785,5,0.775,0.79,0.7916666666666666,0.7855555555555555,0.007494854201795566,10,0.7335705454541148,0.7483891581021354,0.7531522458208675,0.7450373164590393,0.008338140444712094,9
0.04753828048706055,0.001184942225014037,0.02113962173461914,0.00012224295076053416,,0.01,"{'model__class_weight': None, 'model__C': 0.01}",0.7228308501314636,0.7346930928496969,0.7499353057353297,0.7358197495721633,0.01109398921107571,9,0.839,0.8483333333333334,0.857,0.8481111111111111,0.007350149070462776,4,0.7485945847377654,0.7625752910279029,0.77808351405359,0.7630844632730861,0.012044187542264896,7
0.0499422550201416,0.001165853703768597,0.021517435709635418,0.0003855573839488115,balanced,0.01,"{'model__class_weight': 'balanced', 'model__C': 0.01}",0.8032433798236898,0.8095107892944419,0.813368032244598,0.8087074004542432,0.004172227373355662,4,0.7943333333333333,0.7973333333333333,0.7966666666666666,0.7961111111111112,0.001286204100310021,9,0.7547686631182535,0.7590356352475909,0.7597486892518653,0.75785099587257,0.0021988925863567032,8
0.06155641873677572,0.002519041614777067,0.02096104621887207,0.0005130661832738099,,0.1,"{'model__class_weight': None, 'model__C': 0.1}",0.7471803065775757,0.7507012614160964,0.7780248230672894,0.7586354636869871,0.013785492945547515,8,0.847,0.848,0.8663333333333333,0.8537777777777777,0.00888749989147609,3,0.7690353375933482,0.7717429825984058,0.8003112356053532,0.7803631852657024,0.014148648218900295,3
0.06482418378194173,0.0019083800044000063,0.021780888239542644,0.001329369408447438,balanced,0.1,"{'model__class_weight': 'balanced', 'model__C': 0.1}",0.8160992287955393,0.813079349346588,0.82650585055869,0.8185614762336058,0.005751216134253263,1,0.803,0.8056666666666666,0.8086666666666666,0.8057777777777778,0.0023147407395554902,8,0.765401683788727,0.7664749019268025,0.7729400440406651,0.7682722099187315,0.003329610170914817,6
0.0790716012318929,0.0060222349970901244,0.02143414815266927,0.0006173660037124348,,1.0,"{'model__class_weight': None, 'model__C': 1.0}",0.754042170895393,0.757085852951157,0.789064960365608,0.766730994737386,0.01584130709308412,6,0.848,0.849,0.8693333333333333,0.8554444444444446,0.0098294091353762,1,0.7735699152542372,0.7759507625834806,0.80795560247071,0.7858254267694759,0.01567855469374028,1
0.07960168520609538,0.0036329363586364376,0.02158490816752116,0.0003350172344293234,balanced,1.0,"{'model__class_weight': 'balanced', 'model__C': 1.0}",0.8166784255613143,0.8127040005468497,0.8243385926922335,0.8179070062667991,0.0048285947928132095,3,0.8053333333333333,0.808,0.809,0.8074444444444445,0.0015475986974649203,6,0.7673633020389172,0.7681303794288707,0.7725468101707963,0.7693468305461947,0.0022842948042292653,5
0.09773842493693034,0.003613476816015682,0.021384477615356445,0.0003907310768201028,,10.0,"{'model__class_weight': None, 'model__C': 10.0}",0.7529075799706557,0.7547776104135795,0.7893231271010378,0.7656694391617577,0.01674309744961587,7,0.847,0.8476666666666667,0.869,0.8545555555555554,0.0102173901622868,2,0.7722099063380733,0.773716634138089,0.8077848285657504,0.7845704563473043,0.01642656111887612,2
0.10301907857259114,0.007604621339727736,0.01954992612202962,0.0010390233959380007,balanced,10.0,"{'model__class_weight': 'balanced', 'model__C': 10.0}",0.815723879995801,0.8144568489254649,0.8248158654749902,0.8183321981320854,0.00461373302170721,2,0.8053333333333333,0.8106666666666666,0.809,0.8083333333333335,0.002227770850640373,5,0.7670629079058211,0.7707365062826808,0.7726911790821933,0.7701635310902318,0.002333178738269183,4
