mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__n_estimators,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_features,param_model__max_depth,params,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro
2.8889965216318765,0.08746942975260164,0.06352821985880534,0.010663444676543897,100,5,4,0.5,10,"{'model__n_estimators': 100, 'model__min_samples_split': 5, 'model__min_samples_leaf': 4, 'model__max_features': 0.5, 'model__max_depth': 10}",0.6487481533543604,0.6578359671562964,0.637068823238158,0.6478843145829384,0.008500126653818248,5,0.8163333333333334,0.8196666666666667,0.8116666666666666,0.8158888888888889,0.0032810717911629823,10,0.6727919045589609,0.6827078102557516,0.6596368455664938,0.6717121867937355,0.009449574796876732,9
2.509761651357015,0.14203710757357796,0.12851341565450033,0.033828974371041834,200,2,1,sqrt,10,"{'model__n_estimators': 200, 'model__min_samples_split': 2, 'model__min_samples_leaf': 1, 'model__max_features': 'sqrt', 'model__max_depth': 10}",0.6429182712879761,0.6572969962039941,0.6329710967156297,0.6443954547358666,0.009985786555017187,16,0.8156666666666667,0.8196666666666667,0.812,0.8157777777777778,0.0031308895119122777,13,0.6668657975190638,0.6822177636549931,0.6555035145971224,0.6681956919237265,0.01094651360105584,15
2.259682814280192,0.07187688510347841,0.13884210586547852,0.04435755573920974,200,10,1,log2,10,"{'model__n_estimators': 200, 'model__min_samples_split': 10, 'model__min_samples_leaf': 1, 'model__max_features': 'log2', 'model__max_depth': 10}",0.6434584695930312,0.6608402789239148,0.6352378692853606,0.6465122059341022,0.010672857288644767,13,0.8156666666666667,0.8226666666666667,0.8113333333333334,0.8165555555555555,0.004669311419877923,6,0.6674011641159737,0.6867777833601286,0.6576543881933103,0.6706111118898042,0.012104292903585988,12
1.4386025269826253,0.07736878026783324,0.08851559956868489,0.015761208326742486,200,2,1,sqrt,5,"{'model__n_estimators': 200, 'model__min_samples_split': 2, 'model__min_samples_leaf': 1, 'model__max_features': 'sqrt', 'model__max_depth': 5}",0.6088373732034533,0.6243398250536392,0.6133695741871596,0.6155155908147507,0.006508227811330084,20,0.8063333333333333,0.8136666666666666,0.8083333333333333,0.8094444444444445,0.0030951973949297903,20,0.626721753940891,0.6465031531202051,0.6325389428837704,0.6352546166482889,0.008300887557737922,20
1.4447246392567952,0.1187130623331376,0.08688847223917644,0.015002541825288493,100,10,1,0.5,5,"{'model__n_estimators': 100, 'model__min_samples_split': 10, 'model__min_samples_leaf': 1, 'model__max_features': 0.5, 'model__max_depth': 5}",0.6492564044478264,0.6595405594982671,0.6328524715299554,0.6472164784920164,0.010990434728434736,10,0.8213333333333334,0.824,0.8143333333333334,0.8198888888888889,0.004076430295076454,3,0.6752732712744474,0.6862034099229455,0.6560861534028639,0.6725209448667523,0.012448393753545632,7
3.15488870938619,0.1452473775130288,0.1634809970855713,0.021618818366252426,200,10,2,log2,,"{'model__n_estimators': 200, 'model__min_samples_split': 10, 'model__min_samples_leaf': 2, 'model__max_features': 'log2', 'model__max_depth': None}",0.6449880633600334,0.6628930103977554,0.6354596468064038,0.6477802401880642,0.01137232160593043,7,0.813,0.8216666666666667,0.81,0.8148888888888889,0.004946628731011555,14,0.6678973998319951,0.6881455072259892,0.6574516485990773,0.6711648518856871,0.012741936575591525,11
3.2743560473124185,0.10345193993725744,0.16258390744527182,0.05958193491710153,200,10,2,0.5,5,"{'model__n_estimators': 200, 'model__min_samples_split': 10, 'model__min_samples_leaf': 2, 'model__max_features': 0.5, 'model__max_depth': 5}",0.6490424549399102,0.6598654893546789,0.634358495626341,0.6477554799736435,0.01045287554335222,8,0.821,0.8236666666666667,0.815,0.8198888888888889,0.0036243347622889254,3,0.6749315308142108,0.6863496894624761,0.657893887930147,0.6730583694022779,0.011692296907742036,5
7.558587153752645,0.2079246610049676,0.19092464447021484,0.013388866711565762,200,5,4,0.5,,"{'model__n_estimators': 200, 'model__min_samples_split': 5, 'model__min_samples_leaf': 4, 'model__max_features': 0.5, 'model__max_depth': None}",0.648657152206197,0.6642958821587721,0.6406198423832316,0.6511909589160668,0.009830355951353977,1,0.8136666666666666,0.8213333333333334,0.813,0.816,0.0037810443393719315,9,0.671644602371795,0.6892191515218984,0.6636689975357709,0.6748442504764881,0.01067335945783101,1
1.8257020314534504,0.1274712644581131,0.08933552106221516,0.0026083209347603667,100,10,2,0.5,5,"{'model__n_estimators': 100, 'model__min_samples_split': 10, 'model__min_samples_leaf': 2, 'model__max_features': 0.5, 'model__max_depth': 5}",0.6482883071269389,0.6587875474500743,0.6332805537217363,0.6467854694329165,0.010467268765547173,11,0.8206666666666667,0.8236666666666667,0.815,0.8197777777777778,0.0035935470286214037,5,0.6740616043762178,0.6853612071185688,0.6567456893752586,0.6720561669566818,0.011767987603726274,8
3.006572961807251,0.03935682257231548,0.10434492429097493,0.009047152798280512,100,2,1,0.5,10,"{'model__n_estimators': 100, 'model__min_samples_split': 2, 'model__min_samples_leaf': 1, 'model__max_features': 0.5, 'model__max_depth': 10}",0.6430305705771989,0.662354039445453,0.6369579344776366,0.6474475148334295,0.010828129549344265,9,0.815,0.8216666666666667,0.8123333333333334,0.8163333333333332,0.00392522705170126,7,0.6667333200026662,0.6876687537399477,0.6597446493385569,0.6713822410270569,0.01186446379384562,10
