mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__class_weight,param_model__C,params,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,split3_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,mean_test_f1,std_test_f1,rank_test_f1
0.24454277753829956,0.0175366615243591,0.051485538482666016,0.00504811557837135,,0.001,"{'model__class_weight': None, 'model__C': 0.001}",0.5673572526074883,0.5626683891527033,0.5594611748061504,0.5584298703306765,0.5619791717242546,0.0034762272477615198,8,0.8907369724851809,0.8894098911793329,0.8901176678757852,0.8888692266855424,0.8897834395564604,0.0007064448278173924,4,0.237183446571958,0.2236024844720497,0.2139240506329114,0.21105527638190955,0.22144131451470717,0.01020862896838897,8
0.2836849093437195,0.007801595170193425,0.05463588237762451,0.00679007035755474,balanced,0.001,"{'model__class_weight': 'balanced', 'model__C': 0.001}",0.8148968289371591,0.8268995130081497,0.8184174850078085,0.8189437877267394,0.8197894036699641,0.004389993435531606,4,0.8301335928514554,0.8327877554631514,0.8310183137220207,0.8320651212174837,0.8315011958135278,0.001009549474943395,8,0.5226255594231726,0.5340236686390533,0.5262896825396826,0.5276256844201095,0.5276411487555044,0.004114589787958043,4
0.41232848167419434,0.04055886783602635,0.04887986183166504,0.0015701350266242753,,0.01,"{'model__class_weight': None, 'model__C': 0.01}",0.6393758201096456,0.6356487689696657,0.6308657753905392,0.6332732787814661,0.6347909108128291,0.003141146643473474,7,0.9002919578872866,0.8983455719720428,0.8998495974520039,0.8987789771721819,0.8993165261208788,0.0007853889174115911,3,0.41210224308815857,0.40249609984399376,0.3952991452991453,0.39852786540483703,0.40210633840903365,0.0063089890514925065,7
0.36505264043807983,0.025409162760544293,0.04970824718475342,0.003584309479918809,balanced,0.01,"{'model__class_weight': 'balanced', 'model__C': 0.01}",0.8311475995010793,0.8366304450467992,0.8324520545247713,0.8296594702263831,0.8324723923247582,0.002596026907727403,3,0.8426081571264266,0.8412810758205786,0.8407502432982394,0.8405591930631746,0.8412996673271048,0.0008004155324082618,7,0.5481330962661926,0.5503759398496241,0.5470558631102164,0.5447195553309753,0.547571113639252,0.002035911493443829,3
0.5105518102645874,0.09472500075645605,0.05828374624252319,0.004027851669031635,,0.1,"{'model__class_weight': None, 'model__C': 0.1}",0.6620561669289653,0.6601475481175201,0.6507043186902907,0.655980948280828,0.657222245504401,0.004357418400513418,6,0.902680704237813,0.9004689020613996,0.9018844554543042,0.9006370553884269,0.9014177792854858,0.0009114087819938453,2,0.45544554455445546,0.4487996080352768,0.435048395313296,0.44212617983109787,0.44535493193353154,0.00758840882126666,6
0.42486125230789185,0.036762542343099135,0.05320507287979126,0.003838020403592215,balanced,0.1,"{'model__class_weight': 'balanced', 'model__C': 0.1}",0.8321169526184471,0.8394683256735452,0.8332264301846323,0.8306840610115844,0.8338739423720523,0.0033533100305897195,1,0.8460585685216314,0.8445545430416703,0.8426966292134831,0.8429481507697753,0.84406447288664,0.0013540455624848847,6,0.5529290853031861,0.556201060873958,0.549873417721519,0.5482311020615933,0.5518086664900641,0.0030451856173505905,1
0.3669750690460205,0.007696381041680727,0.0529974102973938,0.0042307114908508355,,1.0,"{'model__class_weight': None, 'model__C': 1.0}",0.6642027189026776,0.662066170807742,0.652143061633471,0.6619596985195808,0.6600929124658679,0.004676250524178431,5,0.9024152879766434,0.9003804299743431,0.901530567106078,0.9013448947089011,0.9014177949414913,0.0007226946857526726,1,0.4585174275895925,0.45180136319376824,0.4370257966616085,0.45316331535066207,0.4501269756989078,0.007969684859845859,5
0.38501036167144775,0.015045797688902622,0.04723590612411499,0.00723235569655946,balanced,1.0,"{'model__class_weight': 'balanced', 'model__C': 1.0}",0.8322171429801343,0.8386342522805433,0.8336272317878387,0.8290434878834826,0.8333805287329997,0.003457812287112754,2,0.8462355126957445,0.8448199593028399,0.8434044059099354,0.8429481507697753,0.8443520071695737,0.0012879570261335885,5,0.5532133676092545,0.5559493670886076,0.5509893455098934,0.5470783363102832,0.5518076041295097,0.003246763490188631,2
