mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__class_weight,param_model__C,params,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro
0.02670145034790039,0.001205532623656294,0.019818464914957683,0.001222809842094953,,0.001,"{'model__class_weight': None, 'model__C': 0.001}",0.8577938217540537,0.7887323943661972,0.8857142857142857,0.8440801672781788,0.04076289204391554,10,0.8894736842105263,0.8421052631578947,0.9153439153439153,0.8823076209041121,0.030325889830197114,10,0.8748235294117647,0.8101012793176972,0.903987807975616,0.8629708722350259,0.039234629070677894,10
0.03879483540852865,0.014599144723522915,0.018630822499593098,0.0010965978218749446,balanced,0.001,"{'model__class_weight': 'balanced', 'model__C': 0.001}",0.9550242632264173,0.8930050893596875,0.9474789915966386,0.9318361147275812,0.02762992555585684,9,0.9578947368421052,0.9157894736842105,0.9523809523809523,0.9420217209690893,0.018685084122231275,9,0.9550242632264173,0.9064615384615384,0.9487974473977303,0.936761083028562,0.02157529620604521,9
0.023213307062784832,0.0018994895064671881,0.01805901527404785,0.0009088276687819545,,0.01,"{'model__class_weight': None, 'model__C': 0.01}",0.9577464788732395,0.8943661971830985,0.9457983193277311,0.9326369984613564,0.02749763992286317,8,0.968421052631579,0.9210526315789473,0.9576719576719577,0.9490485472941613,0.020276657074293793,8,0.9656460945033751,0.9113006131150603,0.9537558111083925,0.9435675062422759,0.023326794377076607,8
0.02364341417948405,0.0037057933749190396,0.01884635289510091,0.002238233107817058,balanced,0.01,"{'model__class_weight': 'balanced', 'model__C': 0.01}",0.9845543851343355,0.9253757841164635,0.973109243697479,0.961013137649426,0.02562893600018578,7,0.9842105263157894,0.9421052631578948,0.9735449735449735,0.9666202543395525,0.0178732033773903,7,0.9831813755864389,0.9363794100636206,0.9717209803393483,0.9637605886631359,0.01991869927026365,7
0.022031227747599285,0.000715088091736099,0.017554442087809246,0.0015703948040813427,,0.1,"{'model__class_weight': None, 'model__C': 0.1}",0.9676293052432241,0.943661971830986,0.988655462184874,0.9666489130863614,0.018381592606777058,6,0.9736842105263158,0.9578947368421052,0.9894179894179894,0.9736656455954701,0.012869320669282692,4,0.9716409445058061,0.9538890911297173,0.988655462184874,0.9713951659401324,0.014194375515527676,4
0.0240476131439209,0.002259090840888557,0.017996549606323242,0.001477646815708286,balanced,0.1,"{'model__class_weight': 'balanced', 'model__C': 0.1}",0.9761510237897977,0.9465025446798438,0.9844537815126051,0.9690357833274156,0.01628995763064315,4,0.9736842105263158,0.9578947368421052,0.9841269841269841,0.971901977165135,0.010783164848319114,5,0.9721203228173148,0.9541947926711668,0.983032588203609,0.9697825678973636,0.011888466016607644,5
0.022287527720133465,0.0018039048669678964,0.018213987350463867,0.002928559224739484,,1.0,"{'model__class_weight': None, 'model__C': 1.0}",0.966268197419813,0.9577464788732395,0.988655462184874,0.9708900461593087,0.01303488720492841,2,0.968421052631579,0.968421052631579,0.9894179894179894,0.9754200315603825,0.009898050923877407,1,0.966268197419813,0.9656460945033751,0.988655462184874,0.973523251369354,0.010703102545015148,2
0.023468414942423504,0.002210288832665124,0.017253875732421875,0.0014237361569924888,balanced,1.0,"{'model__class_weight': 'balanced', 'model__C': 1.0}",0.9719493431175288,0.9577464788732395,0.988655462184874,0.9727837613918808,0.01263232632922784,1,0.968421052631579,0.968421052631579,0.9894179894179894,0.9754200315603825,0.009898050923877407,1,0.9666315419740077,0.9656460945033751,0.988655462184874,0.9736443662207522,0.010622069108304577,1
0.024822552998860676,0.002220610750427928,0.01759187380472819,0.0012554905103522803,,10.0,"{'model__class_weight': None, 'model__C': 10.0}",0.964907089596402,0.9535447982009706,0.9928571428571429,0.9704363435515052,0.016518567281828392,3,0.9631578947368421,0.9631578947368421,0.9947089947089947,0.973674928060893,0.014873331162802506,3,0.9609684519442406,0.9600492625634556,0.9943108274886368,0.9717761806654442,0.015938819652323685,3
0.024266401926676433,0.0004992148141951071,0.015878756841023762,0.0010901754177871194,balanced,10.0,"{'model__class_weight': 'balanced', 'model__C': 10.0}",0.964907089596402,0.9563853710498283,0.9844537815126051,0.9685820807196118,0.01174983932637611,5,0.9631578947368421,0.9631578947368421,0.9841269841269841,0.9701475912002228,0.009884923535384182,6,0.9609684519442406,0.9602973223081286,0.983032588203609,0.9680994541519928,0.010562874394146446,6
