mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__class_weight,param_model__C,params,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro
0.19560941060384116,0.00924482638523035,0.08934577306111653,0.005725264545807967,,0.001,"{'model__class_weight': None, 'model__C': 0.001}",0.6846760202157351,0.7656332503583013,0.689720635900602,0.7133433021582127,0.03703188760089477,10,0.9876666666666667,0.986,0.9863333333333333,0.9866666666666667,0.0007200822998231191,4,0.7566168425530235,0.7864406779661017,0.7495474546487454,0.7642016583892902,0.01598800707068985,7
0.21463251113891602,0.009209587065633587,0.10050106048583984,0.01559558788263719,balanced,0.001,"{'model__class_weight': 'balanced', 'model__C': 0.001}",0.9323942068341253,0.9233046692313495,0.9325513196480939,0.9294167319045229,0.004322356895620588,1,0.9743333333333334,0.9743333333333334,0.9726666666666667,0.9737777777777779,0.0007856742013184043,10,0.7708494738961839,0.7682488946676178,0.7651775486827033,0.7680919724155016,0.002318210854910328,6
0.20828580856323242,0.006502125772428324,0.09432299931844075,0.00718438346819532,,0.01,"{'model__class_weight': None, 'model__C': 0.01}",0.7765897261823942,0.8206796409444067,0.7617687914801667,0.7863460528689892,0.025020144936447514,9,0.9896666666666667,0.987,0.9876666666666667,0.988111111111111,0.0011331154474650764,2,0.8270472123916023,0.8177907833283239,0.8021302197067606,0.8156560718088955,0.010283704782081172,3
0.27865346272786456,0.022134769935581007,0.09199611345926921,0.003883916527079479,balanced,0.01,"{'model__class_weight': 'balanced', 'model__C': 0.01}",0.934091423398959,0.897563551331372,0.9361166846735607,0.9225905531346306,0.01771606681805776,2,0.9776666666666667,0.9773333333333334,0.9796666666666667,0.9782222222222222,0.0010304020550550685,6,0.7887392779928339,0.7762333491286264,0.8029543920173916,0.7893090063796174,0.010916256259720711,4
0.26274903615315753,0.012043412824472051,0.09642744064331055,0.008027415875809253,,0.1,"{'model__class_weight': None, 'model__C': 0.1}",0.8040280606472052,0.8210190842573735,0.788871739465967,0.8046396281235152,0.013131221201598178,7,0.99,0.9876666666666667,0.9883333333333333,0.9886666666666667,0.0009813067629253088,1,0.8412093495934959,0.8239634859035986,0.820266724181315,0.8284798532261365,0.00912675810032595,1
0.36340920130411786,0.024906501548443552,0.09692223866780598,0.009023224050887757,balanced,0.1,"{'model__class_weight': 'balanced', 'model__C': 0.1}",0.8702949385230445,0.858659576073018,0.864068529093996,0.8643410145633528,0.004754022933904129,3,0.9773333333333334,0.9723333333333334,0.9783333333333334,0.9760000000000001,0.002624669291337273,9,0.7675213675213675,0.7382889563194809,0.7733588566128655,0.7597230601512379,0.015342417780481387,8
0.3725169499715169,0.021581404349209896,0.09679269790649414,0.005368217362605349,,1.0,"{'model__class_weight': None, 'model__C': 1.0}",0.8299389002036659,0.8391981594629252,0.7966044142614601,0.8219138246426837,0.018291312343868556,5,0.9873333333333333,0.9876666666666667,0.986,0.9870000000000001,0.0007200822998231019,3,0.8240469208211143,0.8301918831720156,0.8019914007694049,0.8187434015875116,0.012108187013501371,2
0.631498654683431,0.031031548318819675,0.09608197212219238,0.0076937655847974665,balanced,1.0,"{'model__class_weight': 'balanced', 'model__C': 1.0}",0.825356415478615,0.8322395715471071,0.8194628800740855,0.8256862890332691,0.005221275302116719,4,0.9783333333333334,0.974,0.9783333333333334,0.9768888888888889,0.002042752923427841,8,0.757230485377183,0.7367521059831521,0.757230485377183,0.750404358912506,0.009653600624820053,9
0.5441659291585287,0.0194786997301332,0.10156965255737305,0.01008549118546018,,10.0,"{'model__class_weight': None, 'model__C': 10.0}",0.7827939956249528,0.8558497397601268,0.7686525698410248,0.8024321017420348,0.03821062696314134,8,0.984,0.9846666666666667,0.9836666666666667,0.984111111111111,0.0004157397096415527,5,0.777743478931934,0.8106019016667032,0.7710704713612275,0.7864719506532882,0.017278563972777196,5
0.7951567967732748,0.09270749526537747,0.08389918009440105,0.010033575176157432,balanced,10.0,"{'model__class_weight': 'balanced', 'model__C': 10.0}",0.7624085388851174,0.833088179829524,0.8194628800740855,0.8049865329295756,0.030616731602114002,6,0.9796666666666667,0.9756666666666667,0.9783333333333334,0.9778888888888889,0.0016629588385662008,7,0.738511286167247,0.7454645620421413,0.757230485377183,0.7470687778621904,0.007725811114408996,10
