mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__n_estimators,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_features,param_model__max_depth,params,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,split3_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,mean_test_f1,std_test_f1,rank_test_f1
11.434689342975616,0.09779716814937406,0.12168878316879272,0.025549627082122366,100,5,4,0.5,10,"{'model__n_estimators': 100, 'model__min_samples_split': 5, 'model__min_samples_leaf': 4, 'model__max_features': 0.5, 'model__max_depth': 10}",0.6541098297159229,0.6486402938880949,0.6617194100566768,0.6542506934053812,0.654680056766519,0.00465136383645605,22,0.8198666666666666,0.8177333333333333,0.8253333333333334,0.8177333333333333,0.8201666666666667,0.0031075177661063825,15,0.4670611439842209,0.45602865101472345,0.4826224328593997,0.46705653021442495,0.46819218951819225,0.009470382487866844,22
8.302727818489075,0.07274620013408065,0.1934404969215393,0.04135312580404986,200,2,1,sqrt,10,"{'model__n_estimators': 200, 'model__min_samples_split': 2, 'model__min_samples_leaf': 1, 'model__max_features': 'sqrt', 'model__max_depth': 10}",0.6483799282554914,0.6484316298733805,0.6590960947322243,0.6574732211934529,0.6533452185136372,0.004972686499252009,27,0.818,0.8164,0.8236,0.8204,0.8195999999999999,0.002712931993250111,20,0.4555245313123255,0.4555160142348754,0.477281706835243,0.47362250879249707,0.4654861902937352,0.01004953916233028,28
8.332192063331604,0.09701540266188596,0.18300676345825195,0.024847066813286158,200,10,1,log2,10,"{'model__n_estimators': 200, 'model__min_samples_split': 10, 'model__min_samples_leaf': 1, 'model__max_features': 'log2', 'model__max_depth': 10}",0.6490272820459475,0.6516987386972368,0.6620618171787449,0.6576034040097546,0.6550978104829209,0.0050788874935739775,21,0.818,0.8188,0.8258666666666666,0.8202666666666667,0.8207333333333333,0.003073181485764298,12,0.4568245125348189,0.46220815195884446,0.4833860759493671,0.47384855581576896,0.46906682406469985,0.01030559929996824,21
4.576712906360626,0.0760854120693686,0.14451634883880615,0.03333844782255088,200,2,1,sqrt,5,"{'model__n_estimators': 200, 'model__min_samples_split': 2, 'model__min_samples_leaf': 1, 'model__max_features': 'sqrt', 'model__max_depth': 5}",0.6218294447215279,0.6189047430197399,0.632973620100846,0.6270350546257004,0.6251857156169536,0.005356927340134823,41,0.8116,0.8097333333333333,0.8178666666666666,0.8146666666666667,0.8134666666666667,0.003091206165165231,43,0.397954835960801,0.39147121535181234,0.42265426880811496,0.40951571792693287,0.4053990095119153,0.011875294012977837,41
6.088746190071106,0.070166231441415,0.11505061388015747,0.02370908681721959,100,10,1,0.5,5,"{'model__n_estimators': 100, 'model__min_samples_split': 10, 'model__min_samples_leaf': 1, 'model__max_features': 0.5, 'model__max_depth': 5}",0.6519074027119511,0.6488525181938612,0.6604247024757645,0.6510478246157285,0.6530581119993264,0.0043965629113211615,34,0.8201333333333334,0.8184,0.8253333333333334,0.8194666666666667,0.8208333333333333,0.002670622066527244,11,0.4627638391079251,0.4565043894652833,0.4801587301587302,0.4609872611464968,0.46510355496960887,0.008986407687412157,34
13.877454340457916,0.09739577306636801,0.3139612674713135,0.030910452562285088,200,10,2,log2,,"{'model__n_estimators': 200, 'model__min_samples_split': 10, 'model__min_samples_leaf': 2, 'model__max_features': 'log2', 'model__max_depth': None}",0.6549283870674131,0.6495658147664155,0.6623774447202896,0.6593849426932457,0.6565641473118409,0.004832279051763295,15,0.8201333333333334,0.8141333333333334,0.8233333333333334,0.818,0.8189000000000001,0.0033431522051301644,31,0.46868846002363135,0.4575875486381323,0.4834307992202729,0.47681103871215025,0.4716294616485467,0.009642939397529401,15
12.073229908943176,0.08051108380669737,0.14545178413391113,0.023639920535042217,200,10,2,0.5,5,"{'model__n_estimators': 200, 'model__min_samples_split': 10, 'model__min_samples_leaf': 2, 'model__max_features': 0.5, 'model__max_depth': 5}",0.6504825123147371,0.647386607051915,0.6609793339035991,0.6511334263962456,0.6524954699166242,0.005098617184548542,37,0.8202666666666667,0.8181333333333334,0.8265333333333333,0.8196,0.8211333333333334,0.003211783858785566,4,0.4599358974358974,0.453525641025641,0.4814667198086887,0.46117084826762245,0.4640247766344624,0.010479945973726108,37
37.13526725769043,0.1264462308753612,0.28610658645629883,0.01765559083621977,200,5,4,0.5,,"{'model__n_estimators': 200, 'model__min_samples_split': 5, 'model__min_samples_leaf': 4, 'model__max_features': 0.5, 'model__max_depth': None}",0.6602713003699916,0.6544735985843044,0.6623881255934463,0.6586965681580571,0.6589573981764498,0.002901237695576798,2,0.8217333333333333,0.8164,0.8213333333333334,0.8176,0.8192666666666667,0.002310363126821792,29,0.47915855083755354,0.46731141199226306,0.48302469135802467,0.4754601226993865,0.4762386942218069,0.005806846420621277,2
5.94600236415863,0.039674100445878116,0.11530119180679321,0.02955120577362449,100,10,2,0.5,5,"{'model__n_estimators': 100, 'model__min_samples_split': 10, 'model__min_samples_leaf': 2, 'model__max_features': 0.5, 'model__max_depth': 5}",0.651821800931434,0.6489381199743783,0.6605103042562815,0.6510478246157285,0.6530795124444555,0.004418070626000021,33,0.82,0.8185333333333333,0.8254666666666667,0.8194666666666667,0.8208666666666666,0.0027071920672329356,10,0.4625796178343949,0.456686626746507,0.48034934497816595,0.4609872611464968,0.4651507126763912,0.009035818056508974,33
11.512600302696228,0.07344824359001295,0.12750732898712158,0.021231827218842172,100,2,1,0.5,10,"{'model__n_estimators': 100, 'model__min_samples_split': 2, 'model__min_samples_leaf': 1, 'model__max_features': 0.5, 'model__max_depth': 10}",0.6538084433385871,0.6535070569612513,0.6628393537855026,0.6554972596594566,0.6564130284361994,0.0037869784687620707,16,0.8197333333333333,0.8196,0.8257333333333333,0.8186666666666667,0.8209333333333333,0.0028015868519267583,9,0.4664561957379637,0.4658507698381366,0.48482459597950334,0.46957878315132606,0.47167758617673244,0.007721132489010304,14
