mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__n_estimators,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_features,param_model__max_depth,params,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro
0.290044625600179,0.0035926327633027206,0.06407817204793294,0.0018966131315441223,200,2,2,sqrt,10,"{'model__n_estimators': 200, 'model__min_samples_split': 2, 'model__min_samples_leaf': 2, 'model__max_features': 'sqrt', 'model__max_depth': 10}",0.9803527044620666,0.9183335305953367,0.9689075630252101,0.9558645993608712,0.02694665913293478,10,0.9789473684210527,0.9368421052631579,0.9682539682539683,0.9613478139793931,0.017869611477721398,10,0.9776365348399247,0.9303519061583578,0.96616137502984,0.9580499386760408,0.020137950527626784,10
0.28781922658284503,0.006751188546997521,0.06078092257181803,0.0029788762652979096,200,2,1,sqrt,,"{'model__n_estimators': 200, 'model__min_samples_split': 2, 'model__min_samples_leaf': 1, 'model__max_features': 'sqrt', 'model__max_depth': None}",0.9845543851343355,0.9183335305953367,0.973109243697479,0.9586657198090505,0.028899387890928444,4,0.9842105263157894,0.9368421052631579,0.9735449735449735,0.9648658683746403,0.020288534991847396,4,0.9831813755864389,0.9303519061583578,0.9717209803393483,0.9617514206947151,0.022690413535882855,4
0.2995324929555257,0.024570927938238986,0.04927523930867513,0.004016363568861918,200,5,2,0.5,,"{'model__n_estimators': 200, 'model__min_samples_split': 5, 'model__min_samples_leaf': 2, 'model__max_features': 0.5, 'model__max_depth': None}",0.9845543851343355,0.9183335305953367,0.973109243697479,0.9586657198090505,0.028899387890928444,4,0.9842105263157894,0.9368421052631579,0.9735449735449735,0.9648658683746403,0.020288534991847396,4,0.9831813755864389,0.9303519061583578,0.9717209803393483,0.9617514206947151,0.022690413535882855,4
0.2539230187733968,0.005327370758096745,0.05455676714579264,0.013040206100225262,200,5,2,sqrt,10,"{'model__n_estimators': 200, 'model__min_samples_split': 5, 'model__min_samples_leaf': 2, 'model__max_features': 'sqrt', 'model__max_depth': 10}",0.9775121316132087,0.9183335305953367,0.9689075630252101,0.9549177417445852,0.026106359751421858,12,0.9789473684210527,0.9368421052631579,0.9682539682539683,0.9613478139793931,0.017869611477721398,10,0.9775121316132087,0.9303519061583578,0.96616137502984,0.9580084709338021,0.02009766321636231,13
0.26722518603007,0.012612575966227361,0.05161658922831217,0.0021552075422622717,200,2,1,0.5,,"{'model__n_estimators': 200, 'model__min_samples_split': 2, 'model__min_samples_leaf': 1, 'model__max_features': 0.5, 'model__max_depth': None}",0.9845543851343355,0.9253757841164635,0.973109243697479,0.961013137649426,0.02562893600018578,1,0.9842105263157894,0.9421052631578948,0.9735449735449735,0.9666202543395525,0.0178732033773903,1,0.9831813755864389,0.9363794100636206,0.9717209803393483,0.9637605886631359,0.01991869927026365,1
0.24997345606486002,0.005221621379185304,0.05083958307902018,0.00838111579288572,200,5,1,sqrt,10,"{'model__n_estimators': 200, 'model__min_samples_split': 5, 'model__min_samples_leaf': 1, 'model__max_features': 'sqrt', 'model__max_depth': 10}",0.9775121316132087,0.9141318499230677,0.9689075630252101,0.9535171815204956,0.028070303512501137,14,0.9789473684210527,0.9315789473684211,0.9682539682539683,0.9595934280144807,0.020284567963268472,16,0.9775121316132087,0.9248120300751879,0.96616137502984,0.9561618455727455,0.02264682637886822,14
0.2513914903004964,0.005806218298157626,0.05694905916849772,0.0027144066418030204,200,5,1,log2,,"{'model__n_estimators': 200, 'model__min_samples_split': 5, 'model__min_samples_leaf': 1, 'model__max_features': 'log2', 'model__max_depth': None}",0.9803527044620666,0.9225352112676056,0.9689075630252101,0.9572651595849608,0.02499833058722164,8,0.9789473684210527,0.9421052631578948,0.9682539682539683,0.9631021999443052,0.015475587605273409,8,0.9776365348399247,0.935926913761918,0.96616137502984,0.9599082745438943,0.017592594500399475,8
0.24703272183736166,0.004836826181445233,0.055339415868123375,0.0022536573357694414,200,5,4,log2,20,"{'model__n_estimators': 200, 'model__min_samples_split': 5, 'model__min_samples_leaf': 4, 'model__max_features': 'log2', 'model__max_depth': 20}",0.9803527044620666,0.9042490235530832,0.973109243697479,0.9525703239042097,0.0342960442974585,16,0.9789473684210527,0.9263157894736842,0.9735449735449735,0.9596027104799035,0.023640513250984804,14,0.9776365348399247,0.9181538461538461,0.9717209803393483,0.9558371204443731,0.02675531495115988,18
0.2636692523956299,0.006073056811953136,0.057363033294677734,0.0029229365259266947,200,5,2,sqrt,,"{'model__n_estimators': 200, 'model__min_samples_split': 5, 'model__min_samples_leaf': 2, 'model__max_features': 'sqrt', 'model__max_depth': None}",0.9803527044620666,0.9183335305953367,0.973109243697479,0.9572651595849608,0.02768718997179418,8,0.9789473684210527,0.9368421052631579,0.9735449735449735,0.9631114824097281,0.018705731730333824,7,0.9776365348399247,0.9303519061583578,0.9717209803393483,0.9599031404458769,0.021034971392092216,9
0.26333292325337726,0.016507207491299115,0.051604509353637695,0.0014146527498325233,200,2,2,log2,,"{'model__n_estimators': 200, 'model__min_samples_split': 2, 'model__min_samples_leaf': 2, 'model__max_features': 'log2', 'model__max_depth': None}",0.9733104509409398,0.9225352112676056,0.9689075630252101,0.9549177417445852,0.022968348737178908,12,0.9736842105263158,0.9421052631578948,0.9682539682539683,0.9613478139793931,0.01378595189247742,10,0.9719689593107315,0.935926913761918,0.96616137502984,0.9580190827008298,0.01580042098835726,12
