mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__n_estimators,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_features,param_model__max_depth,params,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro
0.8817549546559652,0.049549628908122645,0.12521624565124512,0.026484689449435207,200,2,2,sqrt,10,"{'model__n_estimators': 200, 'model__min_samples_split': 2, 'model__min_samples_leaf': 2, 'model__max_features': 'sqrt', 'model__max_depth': 10}",0.5705910632297948,0.5864493293711867,0.572770566541801,0.5766036530475941,0.007018573709497482,16,0.892,0.896,0.8936666666666667,0.8938888888888888,0.0016405358955814888,12,0.5941714333430754,0.6173969914977109,0.5978435674511309,0.6031373307639724,0.010193938898773082,16
1.530213197072347,0.2459978619024172,0.2550111611684163,0.04403245577599326,200,2,1,sqrt,,"{'model__n_estimators': 200, 'model__min_samples_split': 2, 'model__min_samples_leaf': 1, 'model__max_features': 'sqrt', 'model__max_depth': None}",0.6380766165590628,0.6317091113240604,0.6262853584484389,0.6320236954438541,0.004818897822404211,4,0.8933333333333333,0.893,0.8943333333333333,0.8935555555555555,0.0005665577237325201,14,0.6711026694129594,0.6649706457925636,0.6609479410698287,0.6656737520917838,0.0041753559354621005,4
2.6003401279449463,0.2688447937469747,0.194154421488444,0.03946165748876178,200,5,2,0.5,,"{'model__n_estimators': 200, 'model__min_samples_split': 5, 'model__min_samples_leaf': 2, 'model__max_features': 0.5, 'model__max_depth': None}",0.6813278999009463,0.6774996531508423,0.6884149154817332,0.6824141561778406,0.004521850835101384,2,0.8933333333333333,0.8996666666666666,0.9036666666666666,0.8988888888888887,0.00425426438201702,3,0.7054477439751791,0.7096155831276042,0.7220597074734523,0.7123743448587452,0.007056789049508581,2
0.969178835550944,0.09102022641049595,0.1333765983581543,0.012202404616617058,200,5,2,sqrt,10,"{'model__n_estimators': 200, 'model__min_samples_split': 5, 'model__min_samples_leaf': 2, 'model__max_features': 'sqrt', 'model__max_depth': 10}",0.5734400660787977,0.5823645755695586,0.5798930736643081,0.5785659051042215,0.0037623352413832844,15,0.8926666666666667,0.8953333333333333,0.8953333333333333,0.8944444444444445,0.0012570787221093842,9,0.5983995849297574,0.611691146887923,0.6083772349936143,0.6061559889370982,0.005649003177825851,15
2.627363125483195,0.012548169821959845,0.16361633936564127,0.02642217672859162,200,2,1,0.5,,"{'model__n_estimators': 200, 'model__min_samples_split': 2, 'model__min_samples_leaf': 1, 'model__max_features': 0.5, 'model__max_depth': None}",0.6884681527943136,0.6883471589020853,0.6900459131489709,0.6889537416151233,0.0007738599679526205,1,0.8906666666666667,0.897,0.9,0.895888888888889,0.0038904758666692303,5,0.7075018637838558,0.714312042132656,0.7188849352310891,0.7135662803825337,0.004676943398856673,1
1.0519616603851318,0.09048334127096438,0.11618677775065105,0.007214251844248067,200,5,1,sqrt,10,"{'model__n_estimators': 200, 'model__min_samples_split': 5, 'model__min_samples_leaf': 1, 'model__max_features': 'sqrt', 'model__max_depth': 10}",0.5785718203611748,0.5855055770118058,0.5850248279466852,0.5830340751065552,0.0031613887217915707,12,0.893,0.8943333333333333,0.8956666666666667,0.8943333333333333,0.0010886621079036506,10,0.6055346398342836,0.6152873714337727,0.6153655522371675,0.612062521168408,0.004616019504133515,12
1.081911563873291,0.04492659104462265,0.16945012410481772,0.019321877629552855,200,5,1,log2,,"{'model__n_estimators': 200, 'model__min_samples_split': 5, 'model__min_samples_leaf': 1, 'model__max_features': 'log2', 'model__max_depth': None}",0.6162106003555607,0.6080410927523046,0.6025995941058229,0.6089504290712294,0.005593749022393224,8,0.894,0.8926666666666667,0.8983333333333333,0.895,0.0024190601174530002,7,0.6505474024756189,0.6408729686644936,0.6387897918442288,0.6434033876614471,0.005122669692322025,8
0.8907128175099691,0.03235415160083409,0.1723152001698812,0.012749899138667562,200,5,4,log2,20,"{'model__n_estimators': 200, 'model__min_samples_split': 5, 'model__min_samples_leaf': 4, 'model__max_features': 'log2', 'model__max_depth': 20}",0.5695440627490458,0.5807513236731809,0.5702990646365504,0.5735314836862591,0.005114494047319574,18,0.8923333333333333,0.8946666666666667,0.8936666666666667,0.8935555555555555,0.0009558139185603244,14,0.5928008535633708,0.6092178420910308,0.5943318365576958,0.5987835107373658,0.007404612541327898,18
1.1309750080108643,0.04689395917930412,0.1493374506632487,0.005670166522533574,200,5,2,sqrt,,"{'model__n_estimators': 200, 'model__min_samples_split': 5, 'model__min_samples_leaf': 2, 'model__max_features': 'sqrt', 'model__max_depth': None}",0.6088993427611774,0.6049000913100573,0.59576908557656,0.603189506549265,0.005495179014459871,9,0.892,0.8936666666666667,0.895,0.8935555555555555,0.0012272623352430313,14,0.6413199426111909,0.6381249198826723,0.6284382729810929,0.6359610451583187,0.005476989348280635,9
0.9778085549672445,0.1262954399941374,0.1605344613393148,0.009653058827919106,200,2,2,log2,,"{'model__n_estimators': 200, 'model__min_samples_split': 2, 'model__min_samples_leaf': 2, 'model__max_features': 'log2', 'model__max_depth': None}",0.5909293298874273,0.5835148241716758,0.5854023288904376,0.5866154943165136,0.0031461671406647087,11,0.893,0.893,0.8963333333333333,0.8941111111111111,0.0015713484026367562,11,0.6213609067521613,0.6120363017994989,0.6162122161338132,0.6165364748951577,0.0038136528586151823,11
